[2025-04-29 13:50:13] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8315 (Threshold: 100)
[2025-04-29 13:50:19] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9279 (Threshold: 100)
[2025-04-29 13:50:25] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8944 (Threshold: 100)
[2025-04-29 13:50:30] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7098 (Threshold: 100)
[2025-04-29 13:50:36] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7993 (Threshold: 100)
[2025-04-29 13:50:42] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8987 (Threshold: 100)
[2025-04-29 13:50:48] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7806 (Threshold: 100)
[2025-04-29 13:50:54] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8266 (Threshold: 100)
[2025-04-29 13:51:00] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8721 (Threshold: 100)
[2025-04-29 13:51:06] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9006 (Threshold: 100)
[2025-04-29 13:51:12] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9396 (Threshold: 100)
[2025-04-29 13:51:18] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7340 (Threshold: 100)
[2025-04-29 13:51:23] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7391 (Threshold: 100)
[2025-04-29 13:51:30] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8009 (Threshold: 100)
[2025-04-29 13:51:35] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6943 (Threshold: 100)
[2025-04-29 13:54:17] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9449 (Threshold: 100)
[2025-04-29 13:54:23] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7936 (Threshold: 100)
[2025-04-29 13:54:29] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7400 (Threshold: 100)
[2025-04-29 13:54:35] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5887 (Threshold: 100)
[2025-04-29 13:54:41] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5918 (Threshold: 100)
[2025-04-29 13:54:47] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6227 (Threshold: 100)
[2025-04-29 13:54:53] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7104 (Threshold: 100)
[2025-04-29 13:54:59] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5817 (Threshold: 100)
[2025-04-29 13:55:05] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5575 (Threshold: 100)
[2025-04-29 13:55:11] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6704 (Threshold: 100)
[2025-04-29 13:55:17] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7926 (Threshold: 100)
[2025-04-29 13:55:23] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 4387 (Threshold: 100)
[2025-04-29 13:55:29] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 5651 (Threshold: 100)
[2025-04-29 13:55:34] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9560 (Threshold: 100)
[2025-04-29 13:55:40] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9599 (Threshold: 100)
[2025-04-29 13:55:46] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10456 (Threshold: 100)
[2025-04-29 13:55:52] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 9487 (Threshold: 100)
[2025-04-29 13:55:58] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10221 (Threshold: 100)
[2025-04-29 14:01:15] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6934 (Threshold: 100)
[2025-04-29 14:01:21] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7869 (Threshold: 100)
[2025-04-29 14:01:27] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 6943 (Threshold: 100)
[2025-04-29 14:01:33] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10468 (Threshold: 100)
[2025-04-29 14:01:39] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10213 (Threshold: 100)
[2025-04-29 14:01:44] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 10653 (Threshold: 100)
[2025-04-29 14:01:50] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 8731 (Threshold: 100)
[2025-04-29 14:01:56] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7722 (Threshold: 100)
[2025-04-29 14:02:02] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7792 (Threshold: 100)
[2025-04-29 14:02:08] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7780 (Threshold: 100)
[2025-04-29 14:02:14] [ALERT] Rule DOS001 (DoS) detected from 192.168.93.128 | Severity: High | Details: Packet count: 7096 (Threshold: 100)
